Date,Resource,Task_ID,Task_Type,Story_Points,Status,Start_Date,End_Date,Estimated_Hours,Actual_Hours,Defects_Reported,Rework_Hours
2024-02-27,Resource_7,T69,Bug,4,Completed,2024-01-10,2024-01-25,2,2,3,1
2024-02-05,Resource_6,T70,Feature,7,In Progress,2024-01-13,2024-02-07,11,6,1,1
2024-01-12,Resource_4,T71,Feature,6,Completed,2024-01-16,2024-01-22,7,17,3,1
2024-02-16,Resource_2,T72,Bug,3,In Progress,2024-01-03,2024-02-08,7,7,3,0
2024-03-23,Resource_9,T73,Bug,4,Completed,2024-01-20,2024-01-22,7,9,2,1
2024-01-01,Resource_1,T74,Improvement,8,Completed,2024-01-07,2024-02-04,7,5,0,2
2024-01-15,Resource_5,T75,Bug,5,In Progress,2024-01-15,2024-02-07,12,11,3,0
2024-02-23,Resource_10,T76,Improvement,5,In Progress,2024-01-17,2024-01-28,19,11,4,2
2024-01-13,Resource_7,T77,Improvement,3,In Progress,2024-01-16,2024-02-01,19,4,0,1
2024-02-12,Resource_6,T78,Bug,6,In Progress,2024-01-09,2024-02-04,19,6,4,4
2024-03-25,Resource_8,T79,Improvement,8,Completed,2024-01-01,2024-02-06,3,10,3,0
2024-03-16,Resource_9,T80,Improvement,2,Completed,2024-01-11,2024-01-22,13,9,1,4
2024-03-09,Resource_9,T81,Feature,7,In Progress,2024-01-12,2024-02-07,10,18,3,2
2024-01-07,Resource_10,T82,Bug,3,Completed,2024-01-14,2024-02-02,9,9,2,2
2024-03-09,Resource_3,T83,Bug,6,In Progress,2024-01-08,2024-02-04,6,11,1,0
2024-02-17,Resource_9,T84,Bug,1,In Progress,2024-01-07,2024-01-21,12,2,4,2
2024-01-04,Resource_7,T85,Improvement,7,In Progress,2024-01-14,2024-01-23,2,15,3,0
2024-03-17,Resource_7,T86,Bug,4,In Progress,2024-01-16,2024-02-09,12,6,3,2
2024-02-22,Resource_10,T87,Bug,1,Completed,2024-01-10,2024-02-04,16,17,1,4
2024-03-19,Resource_2,T88,Bug,3,Completed,2024-01-07,2024-02-08,13,4,3,3
2024-01-16,Resource_7,T89,Improvement,5,In Progress,2024-01-12,2024-02-01,16,8,0,1
2024-01-21,Resource_9,T90,Feature,4,Completed,2024-01-19,2024-01-30,13,2,4,1
2024-02-28,Resource_9,T91,Bug,3,Completed,2024-01-08,2024-02-04,19,9,3,3
2024-01-24,Resource_4,T92,Feature,2,In Progress,2024-01-02,2024-01-21,14,1,3,3
2024-03-20,Resource_3,T93,Bug,3,In Progress,2024-01-10,2024-02-02,13,6,1,0
2024-01-14,Resource_4,T94,Bug,2,In Progress,2024-01-03,2024-01-30,10,16,2,2
2024-03-26,Resource_7,T95,Improvement,5,Completed,2024-01-19,2024-02-08,7,7,4,4
2024-02-18,Resource_4,T96,Feature,6,Completed,2024-01-15,2024-01-25,5,16,0,1
2024-02-19,Resource_7,T97,Improvement,2,Completed,2024-01-06,2024-01-28,17,6,0,3
2024-03-10,Resource_6,T98,Feature,7,In Progress,2024-01-05,2024-01-24,9,10,1,3
2024-02-11,Resource_8,T99,Improvement,7,In Progress,2024-01-19,2024-02-06,6,18,0,3
2024-02-05,Resource_1,T100,Feature,8,Completed,2024-01-15,2024-02-02,16,17,2,2
